weekendingdate,location,pct_hosp,date,MMWRYR,MMWRWK
2020-12-05T00:00:00.000,27,0.9624,2020-12-05,2020,49
2020-10-17T00:00:00.000,41,0.0806,2020-10-17,2020,42
2020-10-24T00:00:00.000,41,0.629,2020-10-24,2020,43
2023-08-05T00:00:00.000,41,0.9516,2023-08-05,2023,31
2023-01-21T00:00:00.000,44,1.0,2023-01-21,2023,3
2021-11-06T00:00:00.000,45,0.9067,2021-11-06,2021,44
2021-02-13T00:00:00.000,04,0.8586,2021-02-13,2021,6
2024-07-27T00:00:00.000,04,0.3939,2024-07-27,2024,30
2022-01-22T00:00:00.000,22,0.9012,2022-01-22,2022,3
2025-06-14T00:00:00.000,22,0.9321,2025-06-14,2025,24
2022-06-04T00:00:00.000,27,0.9699,2022-06-04,2022,22
2021-09-25T00:00:00.000,41,0.871,2021-09-25,2021,38
2022-06-04T00:00:00.000,51,0.8812,2022-06-04,2022,22
2022-04-02T00:00:00.000,04,0.8485,2022-04-02,2022,13
2025-03-22T00:00:00.000,04,0.9192,2025-03-22,2025,12
2024-08-24T00:00:00.000,11,0.6364,2024-08-24,2024,34
2023-02-04T00:00:00.000,41,0.9677,2023-02-04,2023,5
2023-05-06T00:00:00.000,41,0.9516,2023-05-06,2023,18
2024-12-28T00:00:00.000,41,0.9677,2024-12-28,2024,52
2025-04-05T00:00:00.000,41,0.9032,2025-04-05,2025,14
2023-07-22T00:00:00.000,45,0.9333,2023-07-22,2023,29
2023-08-05T00:00:00.000,51,0.8911,2023-08-05,2023,31
2025-04-12T00:00:00.000,51,0.9307,2025-04-12,2025,15
2024-06-22T00:00:00.000,04,0.404,2024-06-22,2024,25
2021-03-20T00:00:00.000,22,0.9012,2021-03-20,2021,11
2023-10-28T00:00:00.000,22,0.9321,2023-10-28,2023,43
2022-06-11T00:00:00.000,27,0.9699,2022-06-11,2022,23
